clustername,bootstrap,leafname,branchPath,medianOfDistances,sequencesperCluster
4304,0.9999,USA/KS-CDC-QDX37459033/2022,18.0,4.0,19
4304,0.9999,USA/KS-CDC-ASC210853519/2022,16.0,4.0,19
4304,0.9999,KEN/SS9925/2022,17.0,4.0,19
4304,0.9999,Denmark/DCGC-516093/2022,17.0,4.0,19
4304,0.9999,CAN/EPI_ISL_12662303/2022,15.0,4.0,19
4304,0.9999,LAO/LOMWRU-0435/2022,15.0,4.0,19
4304,0.9999,USA/RI-CDC-LC0576334/2022,16.0,4.0,19
4304,0.9999,USA/UT-CDC-2-5847542/2022,15.0,4.0,19
4304,0.9999,THA/CONI-2398/2022,14.0,4.0,19
4304,0.9999,USA/NH-CDC-LC0566362/2022,14.0,4.0,19
4304,0.9999,USA/NV-CDC-ASC210721557/2022,14.0,4.0,19
4304,0.9999,ON929921,15.0,4.0,19
4304,0.9999,USA/WA-CDC-LC0658669/2022,14.0,4.0,19
4304,0.9999,USA/2204130404/2022,16.0,4.0,19
4304,0.9999,USA/WI-CDC-LC0633969/2022,16.0,4.0,19
4304,0.9999,USA/VT-Broad-CRSP_WEYP6BABZKOOKGWC/2022,14.0,4.0,19
4304,0.9999,England/LSPA-3E03D87/2022,15.0,4.0,19
4304,0.9999,ON929918,14.0,4.0,19
4304,0.9999,MYS/H48_24721/2022,14.0,4.0,19
4357,0.9999,Denmark/DCGC-407692/2022,14.0,4.0,5
4357,0.9999,USA/MI-CDC-LC0639382/2022,14.0,4.0,5
4357,0.9999,USA/PA-CDC-STM-MDPX2KWZB/2022,14.0,4.0,5
4357,0.9999,Denmark/DCGC-476413/2022,14.0,4.0,5
4357,0.9999,Liechtenstein/FL-Risch-2231002285/2022,13.0,4.0,5
4395,0.9999,USA/WI-CDC-FG-215219/2021,33.0,3.0,14
4395,0.9999,USA/TX-CDC-FG-228214/2021,33.0,3.0,14
4395,0.9999,CAN/EPI_ISL_12767799/2022,33.0,3.0,14
4395,0.9999,USA/LA-CDC-STM-5QVNUX2QZ/2021,33.0,3.0,14
4395,0.9999,USA/TN-CDC-ASC210575373/2021,33.0,3.0,14
4395,0.9999,USA/LA-EVTL13802/2022,34.0,3.0,14
4395,0.9999,Colombia/CO-CAU-UW22010494731/2022,34.0,3.0,14
4395,0.9999,MEX/MA-UMASSMED-202149209/2022,35.0,3.0,14
4395,0.9999,USA/GA-CDC-LC0522655/2022,34.0,3.0,14
4395,0.9999,Argentina/UW21123117761/2021,34.0,3.0,14
4395,0.9999,Chile/CL-AR-UW22011771334/2022,33.0,3.0,14
4395,0.9999,BRA/CEC-1001-051/2022,38.0,3.0,14
4395,0.9999,DJI/NAMRU3_B834/2022,32.0,3.0,14
4395,0.9999,Argentina/UW22010605739/2022,37.0,3.0,14
4425,0.9999,OX312027,35.0,4.0,3
4425,0.9999,OV924300,34.0,4.0,3
4425,0.9999,FIN/FIN55-VE6-THL-202126660/2021,31.0,4.0,3
4443,0.9999,AUT/SKV-282/2021,31.0,2.0,2
4443,0.9999,SouthAfrica/NHLS-UCT-GP-N741/2022,31.0,2.0,2
4454,0.9999,BRA/2068994/2022,36.0,3.0,2
4454,0.9999,BRA/CIS-084/2022,33.0,3.0,2
4458,0.9999,Argentina/UW22010840318/2022,34.0,4.0,10
4458,0.9999,Scotland/QEUH-2FFBB11/2021,33.0,4.0,10
4458,0.9999,SouthAfrica/NHLS-UCT-LA-Z764/2021,31.0,4.0,10
4458,0.9999,ITA/ID14_030122/2022,33.0,4.0,10
4458,0.9999,SouthAfrica/NHLS-UCT-GS-AZ43/2021,30.0,4.0,10
4458,0.9999,CHN/HZ-21cov3867/2021,31.0,4.0,10
4458,0.9999,SouthAfrica/NHLS-UCT-LA-Z789/2022,31.0,4.0,10
4458,0.9999,HongKong/HKU-220213-248/2021,35.0,4.0,10
4458,0.9999,AUS/QIMR01/2022,34.0,4.0,10
4458,0.9999,BGD/OIS-686/2021,32.0,4.0,10
4478,0.9999,Argentina/UW22011192552/2022,36.0,2.0,3
4478,0.9999,Argentina/UW21123052138/2021,35.0,2.0,3
4478,0.9999,Peru/PE-LMA-UW21122144710/2021,34.0,2.0,3
4486,0.9999,Colombia/CO-ANT-UW21122496279/2021,37.0,2.0,2
4486,0.9999,Argentina/UW22010847253/2022,39.0,2.0,2
4489,0.9999,MEX/4147/2022,32.0,4.0,10
4489,0.9999,PER/LSP1390/2022,32.0,4.0,10
4489,0.9999,USA/VT-CDCBI-CRSP_BKLY7OV3LDFIC4NI/2022,33.0,4.0,10
4489,0.9999,USA/MI-CDC-ASC210587136/2022,32.0,4.0,10
4489,0.9999,USA/SC-CDC-ASC210600852/2022,30.0,4.0,10
4489,0.9999,Colombia/CO-CAU-UW21123163891/2021,31.0,4.0,10
4489,0.9999,Peru/PE-LMA-UW21122751659/2021,30.0,4.0,10
4489,0.9999,PER/LSP1830/2022,33.0,4.0,10
4489,0.9999,PER/LSP0859/2022,34.0,4.0,10
4489,0.9999,Colombia/CO-ANT-UW21122905960/2021,31.0,4.0,10
4508,0.9999,USA/IL-CDC-LC0478639/2022,32.0,3.0,17
4508,0.9999,MWI/MLW000904/2022,30.0,3.0,17
4508,0.9999,AUS/A12-WW-209C/2021,29.0,3.0,17
4508,0.9999,TWN/CGMH-CGU-90/2021,30.0,3.0,17
4508,0.9999,EGY/Suez-om58/2021,30.0,3.0,17
4508,0.9999,OW781249,31.0,3.0,17
4508,0.9999,IND/1/2021,31.0,3.0,17
4508,0.9999,Switzerland/GE-HUG-37112118/2022,33.0,3.0,17
4508,0.9999,USA/CA-CDC-FG-208309/2021,32.0,3.0,17
4508,0.9999,MWI/MLW000907/2022,29.0,3.0,17
4508,0.9999,PER/LSP1192/2022,30.0,3.0,17
4508,0.9999,KEN/SS6350/2022,31.0,3.0,17
4508,0.9999,MWI/MLW001179/2021,30.0,3.0,17
4508,0.9999,ITA/Padova_03/2022,30.0,3.0,17
4508,0.9999,SouthAfrica/NHLS-UCT-GP-N704/2022,30.0,3.0,17
4508,0.9999,USA/MD-CDC-ASC210554252/2022,33.0,3.0,17
4508,0.9999,USA/DC-CDC-LC0463313/2022,33.0,3.0,17
4540,0.9999,DJI/NAMRU3_B884/2022,34.0,4.0,22
4540,0.9999,DJI/NAMRU3_B858/2022,31.0,4.0,22
4540,0.9999,USA/OKPHL0013657/2022,32.0,4.0,22
4540,0.9999,SouthAfrica/NHLS-UCT-GS-AG28/2021,34.0,4.0,22
4540,0.9999,DJI/NAMRU3_A676_2022/2022,32.0,4.0,22
4540,0.9999,FRA/IHUCOVID-066091_Nova1/2022,32.0,4.0,22
4540,0.9999,DJI/NAMRU3_A432/2021,32.0,4.0,22
4540,0.9999,AUT/SKV-302/2022,31.0,4.0,22
4540,0.9999,FRA/IHUCOVID-064316_Nova1RZ/2022,32.0,4.0,22
4540,0.9999,DJI/NAMRU3_A9/2021,31.0,4.0,22
4540,0.9999,FRA/IHUCOVID-071430-Miseq2M/2022,33.0,4.0,22
4540,0.9999,DJI/NAMRU3_A68/2021,31.0,4.0,22
4540,0.9999,DJI/NAMRU3_C594/2022,34.0,4.0,22
4540,0.9999,IRQ/Duhok-12/2021,32.0,4.0,22
4540,0.9999,NOR/Bergen-05/2022,33.0,4.0,22
4540,0.9999,SouthAfrica/NHLS-UCT-GS-AG25/2021,32.0,4.0,22
4540,0.9999,USA/MO-CDC-ASC210855860/2022,33.0,4.0,22
4540,0.9999,KEN/SS6341/2022,37.0,4.0,22
4540,0.9999,KEN/SS7435/2022,33.0,4.0,22
4540,0.9999,KEN/SS4952/2021,32.0,4.0,22
4540,0.9999,DJI/NAMRU3_A395_2022/2022,31.0,4.0,22
4540,0.9999,OW122045,34.0,4.0,22
4581,0.9999,Colombia/CO-ANT-UW22010747678/2022,35.0,4.0,2
4581,0.9999,PER/LSP0923/2022,35.0,4.0,2
4609,0.9999,SYC/SS7503/2021,33.0,3.0,2
4609,0.9999,SYC/SS7762/2022,34.0,3.0,2
4617,0.9999,MNG/10011919/2022,32.0,3.0,23
4617,0.9999,Japan/SZ-NIG-216065/2021,32.0,3.0,23
4617,0.9999,USA/HI-CDC-QDX33164052/2022,35.0,3.0,23
4617,0.9999,USA/KF-460NasalSwab/2022,31.0,3.0,23
4617,0.9999,IND/EPI_ISL_12223856/2022,32.0,3.0,23
4617,0.9999,USA/NM-UNM-ED02738/2022,36.0,3.0,23
4617,0.9999,Japan/SZ-NIG-Y213847/2022,38.0,3.0,23
4617,0.9999,SYC/SS7537/2022,32.0,3.0,23
4617,0.9999,USA/CO-CDC-MMB14244250/2022,34.0,3.0,23
4617,0.9999,USA/SD-CDC-4552987-001/2022,34.0,3.0,23
4617,0.9999,USA/IL-CDC-LC0492573/2022,32.0,3.0,23
4617,0.9999,TWN/CGMH-CGU-130/2022,32.0,3.0,23
4617,0.9999,Japan/SZ-NIG-4-C205/2022,32.0,3.0,23
4617,0.9999,USA/WY-CDC-IBX215143059959/2022,37.0,3.0,23
4617,0.9999,USA/IL-CDC-QDX33633054/2022,34.0,3.0,23
4617,0.9999,HongKong/HKU-344/2021,31.0,3.0,23
4617,0.9999,USA/ND-CDC-MMB14245373/2022,32.0,3.0,23
4617,0.9999,SYC/SS7512/2022,31.0,3.0,23
4617,0.9999,Colombia/CO-ATL-UW21123069129/2021,33.0,3.0,23
4617,0.9999,USA/PR-CDC-ASC210730876/2022,33.0,3.0,23
4617,0.9999,USA/DE-CDC-LC0453165/2021,32.0,3.0,23
4617,0.9999,USA/DE-CDC-LC0491087/2022,31.0,3.0,23
4617,0.9999,PAK/JRCGR_KHI_SCV-185/2022,32.0,3.0,23
4688,0.9999,USA/NM-CDC-IBX827258626470/2022,38.0,2.0,2
4688,0.9999,USA/AK-PHL17054/2022,38.0,2.0,2
4697,0.9999,Colombia/CO-ANT-UW22010704902/2022,34.0,3.0,2
4697,0.9999,USA/NV-CDC-FG-261657/2022,35.0,3.0,2
4700,0.9999,Colombia/CO-ANT-UW22010669352/2022,35.0,4.0,5
4700,0.9999,Argentina/UW22010434374/2022,37.0,4.0,5
4700,0.9999,Colombia/CO-ATL-UW22011086219/2022,34.0,4.0,5
4700,0.9999,Argentina/UW22011099959/2022,33.0,4.0,5
4700,0.9999,Denmark/DCGC-364002/2022,35.0,4.0,5
4708,0.9999,PRI/PR-UPRRP-26577561/2022,34.0,2.0,18
4708,0.9999,USA/PR-CDC-ASC210846054/2022,34.0,2.0,18
4708,0.9999,USA/FL-CDC-LC0541361/2022,34.0,2.0,18
4708,0.9999,Colombia/CO-ANT-UW22011075545/2022,33.0,2.0,18
4708,0.9999,USA/UT-CDC-LC0515818/2022,32.0,2.0,18
4708,0.9999,Argentina/UW21122903641/2021,32.0,2.0,18
4708,0.9999,USA/WA-CDC-LC0536068/2022,34.0,2.0,18
4708,0.9999,Argentina/UW22011185549/2022,32.0,2.0,18
4708,0.9999,USA/TG1269971/2022,34.0,2.0,18
4708,0.9999,USA/PR-CDC-ASC210861721/2022,34.0,2.0,18
4708,0.9999,USA/SC-CDC-MMB14424621/2022,33.0,2.0,18
4708,0.9999,USA/NV-CDC-ASC210752008/2022,33.0,2.0,18
4708,0.9999,COL/LIME_3304/2022,33.0,2.0,18
4708,0.9999,USA/PR-CDC-QDX33752067/2022,33.0,2.0,18
4708,0.9999,Argentina/UW21123155276/2021,32.0,2.0,18
4708,0.9999,Argentina/UW22011047945/2022,33.0,2.0,18
4708,0.9999,USA/OH-CDC-QDX34497094/2022,33.0,2.0,18
4708,0.9999,USA/VA-DCLS-12940/2021,32.0,2.0,18
0,0,USA/IL-CDC-QDX36066003/2022,17.0,0,1
0,0,USA/WI-CDC-QDX36362234/2022,20.0,0,1
0,0,USA/WY-CDC-LC0811158/2022,35.0,0,1
0,0,MYS/H65_35636/2022,23.0,0,1
0,0,OX148955,19.0,0,1
0,0,USA/WA-CDC-UW22051620653/2022,20.0,0,1
0,0,USA/WA-CDC-LC0514799/2022,17.0,0,1
0,0,USA/NV-CDC-LC0777294/2022,31.0,0,1
0,0,Switzerland/GR-Risch-20220729R412930/2022,35.0,0,1
0,0,USA/MN-MDH-22742/2022,36.0,0,1
0,0,FIN/FIN61-VE6-THL-202213593/2022,29.0,0,1
0,0,BRA/LACENAL-270228624/2022,28.0,0,1
0,0,USA/NY-CDC-LC0823808/2022,25.0,0,1
0,0,USA/IN-CDC-LC0852709/2022,33.0,0,1
0,0,Argentina/UW22010342598/2022,33.0,0,1
0,0,BRA/LACENAL-270226547/2022,28.0,0,1
0,0,USA/NE-CDC-QDX34634321/2022,34.0,0,1
0,0,USA/MI-CDC-STM-R5RM48CME/2022,32.0,0,1
0,0,Japan/SZ-NIG-Y220478/2022,33.0,0,1
0,0,USA/IL-CDC-LC0574394/2022,19.0,0,1
0,0,USA/AZ-CDC-LC0840209/2022,31.0,0,1
0,0,USA/IL-CDC-QDX38633331/2022,33.0,0,1
0,0,Denmark/DCGC-562796/2022,36.0,0,1
0,0,BRA/LACENAL-270228608/2022,33.0,0,1
0,0,MWI/MLW001207/2022,18.0,0,1
0,0,VNM/HCMC_15142/2022,15.0,0,1
0,0,OW655297,16.0,0,1
0,0,BRA/LACENAL-270228631/2022,23.0,0,1
0,0,ITA/SARS-CoV-2humanITATUS-Siena-0435943/2022,23.0,0,1
0,0,OW805951,17.0,0,1
0,0,Switzerland/LU-SRO-500007_1383/2022,34.0,0,1
0,0,FRA/IHUMI6145/2022,29.0,0,1
0,0,USA/TX-CDC-FG-273103/2022,36.0,0,1
0,0,USA/RI-CDC-2-5803136/2022,38.0,0,1
0,0,KEN/SS8369/2022,22.0,0,1
0,0,Colombia/CO-CAU-UW21122968642/2021,38.0,0,1
0,0,Brazil/BR-MG-UW22011017605/2022,33.0,0,1
0,0,BRA/LACENAL-270226550/2022,18.0,0,1
0,0,BRA/SP-NVBS11296GENOV828543740890/2021,32.0,0,1
0,0,USA/DC-CDC-LC0746949/2022,24.0,0,1
0,0,USA/OR-CDC-2-6050871/2022,24.0,0,1
0,0,USA/NM-CDC-ASC210850548/2022,19.0,0,1
0,0,USA/AR-CDC-2-5929534/2022,38.0,0,1
0,0,COL/LIME_21918/2022,22.0,0,1
0,0,USA/MT-CDC-QDX37390519/2022,17.0,0,1
0,0,USA/WY-CDC-MMB14747123/2022,40.0,0,1
0,0,BHR/22020479002/2022,42.0,0,1
0,0,Homospiens/BHR/22690046868_S5_L001/2022,17.0,0,1
0,0,Colombia/CO-ANT-UW22011303341/2022,36.0,0,1
0,0,BRA/LACENAL-270228600/2022,18.0,0,1
0,0,USA/GA-CDC-MMB14270421/2022,36.0,0,1
0,0,USA/VT-Broad-CRSP_T5OKFYH4JQ7FYZIW/2022,24.0,0,1
0,0,ITA/SARS-CoV-2humanITATUS-Siena-0436765/2022,26.0,0,1
0,0,ZAF/NHLS-UCT-LA-ZA50/2022,32.0,0,1
0,0,BGD/icddrb-TND-07-1525/2022,30.0,0,1
0,0,BRA/LACENAL-270226790/2022,17.0,0,1
0,0,ZAF/SCV2-LA-Z875/2022,15.0,0,1
0,0,OX306149,17.0,0,1
0,0,Switzerland/BS-UHB-43410117/2022,16.0,0,1
0,0,USA/NJ-CDC-QDX39214852/2022,32.0,0,1
0,0,ZAF/NHLS-UCT-LA-ZA82/2022,33.0,0,1
0,0,BRA/LACENAL-270228628/2022,28.0,0,1
0,0,BRA/LACENAL-270227068/2022,23.0,0,1
0,0,OW964956,13.0,0,1
0,0,COL/LIME_22086/2022,27.0,0,1
0,0,USA/MS-MSPHL-1147/2022,19.0,0,1
0,0,VNM/HCMC_07137/2022,14.0,0,1
0,0,ZAF/NHLS-UCT-LA-ZA89/2022,32.0,0,1
0,0,USA/MA-CDC-STM-CTSX7WMVF/2022,16.0,0,1
0,0,USA/PR-CDC-LC0824857/2022,38.0,0,1
0,0,Scotland/QEUH-3206C0B/2022,33.0,0,1
0,0,USA/UT-CDC-2-5930521/2022,20.0,0,1
0,0,Switzerland/UN-HUG-38100379/2022,28.0,0,1
0,0,MYS/N4919/2022,34.0,0,1
0,0,THA/CONI-3560/2022,34.0,0,1
0,0,USA/MA-CDC-LC0752484/2022,33.0,0,1
0,0,USA/PR-CDC-LC0657093/2022,25.0,0,1
0,0,OW314529,24.0,0,1
0,0,USA/KY-CDC-LC0781747/2022,25.0,0,1
0,0,USA/WA-CDC-UW22050181695/2022,18.0,0,1
0,0,USA/OR-CDC-LC0778683/2022,28.0,0,1
0,0,BHR/22020378588/2022,32.0,0,1
0,0,USA/KS-CDC-2-6168120/2022,24.0,0,1
0,0,TWN/CGMH-CGU-159/2022,22.0,0,1
0,0,PAK/276353/2021,32.0,0,1
0,0,USA/ND-CDC-2-5926207/2022,16.0,0,1
0,0,BRA/LACENAL-270226522/2022,21.0,0,1
0,0,MMR/DSMRC-097/2022,17.0,0,1
0,0,ITA/SARS-CoV-2humanITATUS-Siena-0436626/2022,21.0,0,1
0,0,Scotland/QEUH-3DD7A4A/2022,18.0,0,1
0,0,USA/KS-CDC-ASC210845991/2022,16.0,0,1
0,0,USA/KS-CDC-LC0796759/2022,34.0,0,1
0,0,USA/PR-CDC-LC0814482/2022,25.0,0,1
0,0,VNM/OUCRU-NHTD1056/2022,25.0,0,1
0,0,SouthAfrica/NHLS-UCT-LA-Z982/2022,25.0,0,1
0,0,USA/LA-CDC-QDX38008330/2022,26.0,0,1
0,0,USA/FL-BPHL-4154/2022,33.0,0,1
0,0,Colombia/CO-ATL-UW22011354417/2022,34.0,0,1
0,0,COL/LIME_20647/2022,17.0,0,1
0,0,MWI/MLW000920/2022,32.0,0,1
0,0,USA/USA_UT-IDEL-20220727077_2022_MN908947.3/2022,36.0,0,1
0,0,USA/NE-CDC-QDX37706552/2022,16.0,0,1
0,0,USA/MP-CDC-2-6215134/2022,37.0,0,1
0,0,THA/CONI-3185/2022,23.0,0,1
0,0,MAR/FMP414/2021,31.0,0,1
0,0,USA/TN-CDC-QDX37705451/2022,28.0,0,1
0,0,MYS/H20_22485/2022,17.0,0,1
0,0,Argentina/UW22010495243/2022,37.0,0,1
0,0,COL/LIME_4737/2022,26.0,0,1
0,0,FRA/2204V110959/2022,20.0,0,1
0,0,USA/CA-CDC-ASC210733918/2022,20.0,0,1
0,0,USA/MP-CDC-2-5546522/2022,17.0,0,1
0,0,OX315253,15.0,0,1
0,0,USA/DE-CDC-LC0784340/2022,31.0,0,1
0,0,THA/CONI-3268/2022,20.0,0,1
0,0,USA/VA-VTVAS3-GSC34666/2022,23.0,0,1
0,0,USA/OK-CDC-QDX35734133/2022,17.0,0,1
0,0,BHR/22970207086_S75_L001/2022,25.0,0,1
0,0,FIN/FIN60-VE6-THL-202205928/2022,10.0,0,1
0,0,USA/GA-CDC-MMB12236812/2021,33.0,0,1
0,0,USA/TN-CDC-ASC210845536/2022,36.0,0,1
0,0,PER/LSP1297/2022,32.0,0,1
0,0,ZAF/NHLS-UCT-LA-ZA85/2022,34.0,0,1
0,0,USA/WV-CDC-ASC210738241/2022,42.0,0,1
0,0,USA/MN-MDH-27707/2022,30.0,0,1
0,0,Colombia/CO-ATL-UW22011252280/2022,34.0,0,1
0,0,USA/OSPHL04769/2022,32.0,0,1
0,0,USA/ME-CDC-LC0461160/2022,33.0,0,1
0,0,England/MILK-391B510/2022,16.0,0,1
0,0,KOR/CNUH-P06-2022/2022,33.0,0,1
0,0,USA/AL-CDC-STM-9Y7MXMPJR/2022,35.0,0,1
0,0,Argentina/UW21123139678/2021,33.0,0,1
0,0,Denmark/DCGC-558345/2022,36.0,0,1
0,0,SouthAfrica/NHLS-UCT-GS-BH40/2022,18.0,0,1
0,0,VNM/OUCRU-NHTD684/2022,18.0,0,1
0,0,COL/LIME_20950/2022,35.0,0,1
0,0,HOMOSPIENS/BHR/R45902415030/2022,32.0,0,1
0,0,USA/IL-CDC-LC0472052/2022,35.0,0,1
0,0,IRQ/NAJAF/2021,36.0,0,1
0,0,USA/VA-CDC-QDX39756847/2022,33.0,0,1
0,0,IRL/52-U-1219-21/2022,35.0,0,1
0,0,USA/NH-CDC-QDX33311334/2022,34.0,0,1
0,0,USA/MN-MDH-24102/2022,18.0,0,1
0,0,England/LSPA-3F53385/2022,35.0,0,1
0,0,USA/NH-CDC-LC0454314/2021,34.0,0,1
0,0,USA/NC-CDC-ASC210851024/2022,38.0,0,1
0,0,USA/SD-CDC-2-6132669/2022,17.0,0,1
0,0,DJI/NAMRU3_C827/2022,19.0,0,1
0,0,COL/LIME_20900/2022,37.0,0,1
0,0,Liechtenstein/FL-Risch-20220606R11718/2022,33.0,0,1
0,0,USA/RI-CDC-LC0712100/2022,33.0,0,1
0,0,KEN/C117649/2022,35.0,0,1
0,0,USA/2135856/2022,29.0,0,1
0,0,USA/CT-Broad-CRSP_GDOODUZ737PWEKGB/2022,36.0,0,1
0,0,Japan/PG-334336/2022,37.0,0,1
0,0,Switzerland/BE-ETHZ-37136648/2022,15.0,0,1
0,0,TWN/CGMH-CGU-163/2022,22.0,0,1
0,0,Japan/SZ-NIG-Y214192/2022,16.0,0,1
0,0,Scotland/LSPA-3EBF50A/2022,33.0,0,1
0,0,USA/WV-CDC-LC0852833/2022,37.0,0,1
0,0,MAR/CNRST-HM36/2021,32.0,0,1
0,0,VNM/OUCRU-NHTD3134/2022,24.0,0,1
0,0,SouthAfrica/NHLS-UCT-GS-BH46/2022,21.0,0,1
0,0,COL/LIME_22105/2022,33.0,0,1
0,0,USA/SC-COVID22-4079/2022,28.0,0,1
0,0,Brazil/BR-RJ-UW22012207908/2022,32.0,0,1
0,0,TUR/ERAGEM-OM-1104/2022,36.0,0,1
0,0,USA/AK-CDC-LC0563636/2022,17.0,0,1
0,0,USA/KY-CDC-LC0826602/2022,33.0,0,1
0,0,NLD/EMC-BA2-1/2022,18.0,0,1
