strain	date	url	S1_mutations	country	host	mutational_fitness	genbank_accession	emerging_lineage	division	region	pango_lineage	recency	epiweek	current_frequency	clade_membership	author	accession	originating_lab	submitting_lab	logistic_growth	cazzo
TWN/CGMH-CGU-01/2020	1/25/2020			Taiwan	Homo sapiens		MT192759		Taiwan	Asia	B	Older	202004		19A	Tsao et al A					cazzo
EGY/EGY_CCHE57357_A_71/2020	7/23/2020			Egypt	Homo sapiens	-0.02	MW467476		Egypt	Africa	B	Older	202030		19A	Hatem et al A					cazzo
USA/WV-QDX-1284/2020	3/17/2020			USA	Homo sapiens	-0.01	MW065351		West Virginia	North America	B	Older	202012		19A	Rosenthal et al B		Quest Diagnostics	Quest Diagnostics		cazzo
EGY/CCHE57357_W3_A099/2021	4/28/2021			Egypt	Homo sapiens	-0.01	OK001893		Egypt	Africa	B	Older	202117		19A	Hatem et al B					cazzo
Mesocricetusauratus/HKG/15_P2/2020	5/15/2020			Hong Kong	Mesocricetus auratus	0.02	MT835141		Hong Kong	Asia	B	Older	202020		19A	Chen et al					cazzo
KAZ/KZ_Almaty/2020	3/20/2020			Kazakhstan	Homo sapiens		MZ379258		Almaty	Asia	B	Older	202012		19A	Burashev et al					cazzo
EGY/EGY_CCHE57357_A_58/2020	7/23/2020			Egypt	Homo sapiens	-0.01	MW467466		Egypt	Africa	B	Older	202030		19A	Hatem et al C					cazzo
AUS/NT01/2020	2/21/2020			Australia	Homo sapiens	0.04	MT641645		Northern Territory	Oceania	B	Older	202008		19A	Caly et al A		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity		cazzo
Japan/DP0191/2020	2/15/2020			Japan	Homo sapiens	-0.01	LC570980		Japan	Asia	B.5	Older	202007		19A	Sekizuka et al					cazzo
AUS/NT05/2020	2/24/2020			Australia	Homo sapiens	0	MT641648		Northern Territory	Oceania	B.5	Older	202009		19A	Caly et al B		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity		cazzo
PAK/Gilgit1/2020	3/4/2020			Pakistan	Homo sapiens	-0.12	MT240479		Gilgit Baltistan	Asia	B.4	Older	202010		19A	Javed et al					cazzo
IRN/COVID19-IRVSH6/2020	5/1/2020		1	Iran	Homo sapiens	-0.14	MT994881		Iran	Asia	B.4.6	Older	202018		19A	Shahabzadeh et al					cazzo
NZL/20VR0174/2020	2/27/2020			New Zealand	Homo sapiens	-0.13	MZ331872		New Zealand	Oceania	B.4	Older	202009		19A	Geoghegan et al A			Institute of Environmental Science and Research		cazzo
LKA/COV38/2020	3/16/2020			Sri Lanka	Homo sapiens	-0.13	MT371047		Sri Lanka	Asia	B.4	Older	202012		19A	Jeewandara et al					cazzo
GEO/Tb-7851/2020	5/1/2020		1	Georgia	Homo sapiens	-0.13	MT786438		Georgia (Asia)	Asia	B.4	Older	202018		19A	Imnadze et al					cazzo
TWN/CGMH-CGU-04/2020	2/27/2020			Taiwan	Homo sapiens	-0.16	MT370517		Taiwan	Asia	B.4	Older	202009		19A	Tsao et al B					cazzo
AUS/VIC1398/2020	4/15/2020			Australia	Homo sapiens	-0.13	MW153059		Victoria	Oceania	B.4.5	Older	202016		19A	Caly et al C		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
IRN/KHGRC-3-2178/2020	3/26/2020		1	Iran	Homo sapiens	-0.13	MT459928		Iran	Asia	B.4	Older	202013		19A	Abbasalipour Bashash et al A					cazzo
IRN/12624/2020	4/28/2020			Iran	Homo sapiens	-0.29	MZ359830		Iran	Asia	B.4	Older	202018		19A	Azadmanesh et al					cazzo
ISR/hCov-19-Israel-CVL-n-7465/2020	4/11/2020			Israel	Homo sapiens	-0.07	MW674873		Israel	Asia	B.6	Older	202015		19A	Zuckerman et al A					cazzo
MYS/NC337/2020	3/18/2020			Malaysia	Homo sapiens	-0.08	OK594602		Malaysia	Asia	B.6	Older	202012		19A	Chan et al A					cazzo
LC594644	3/19/2020			Japan	Homo sapiens	-0.07	LC594644		Japan	Asia	B.6	Older	202012		19A	Ko et al A					cazzo
IND/THSTI2010A/2020	4/27/2020			India	Homo sapiens	-0.1	MZ356532		India	Asia	B.6	Older	202018		19A	Kumar et al A					cazzo
NZL/20CV0306/2020	3/30/2020			New Zealand	Homo sapiens	-0.08	OK426616		Manawatu-Whanganui	Oceania	B.6	Older	202014		19A	Ren et al A		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
TWN/CGMH-CGU-27/2020	4/19/2020			Taiwan	Homo sapiens	-0.05	MT517437		Taiwan	Asia	B.6	Older	202017		19A	Tsao et al C					cazzo
KEN/NIC_266/2020	3/24/2020			Kenya	Homo sapiens	-0.08	OL913321		Kenya	Africa	B.6	Older	202013		19A	Githinji et al A					cazzo
TLS/TL06/2020	4/11/2020			Timor-Leste	Homo sapiens	-0.07	MT612282		Timor-Leste	Asia	B.6	Older	202015		19A	Caly et al D		"National Health Laboratory, Timor-Leste"	The Peter Doherty Institute for Infection and Immunity		cazzo
PHL/GS/2020	4/3/2020			Philippines	Homo sapiens	-0.07	MT919768		Manila	Asia	B.6	Older	202014		19A	Velasco et al A					cazzo
PAK/SARS-CoV-2_101/2020	4/24/2020		1	Pakistan	Homo sapiens	-0.08	MW422082		Islamabad Capital Territory	Asia	B.6	Older	202017		19A	Badar et al					cazzo
NZL/21MV0118/2021	2/23/2021			New Zealand	Homo sapiens	-0.08	OK433476		New Zealand	Oceania	B.6.8	Older	202108		19A	Ren et al B		LabPLUS	Institute of Environmental Science and Research		cazzo
Iceland/13/2020	2/27/2020		1	Iceland	Homo sapiens	-0.13	OU161584		Iceland	Europe	B	Older	202009		19A	Jonsson et al A		The National University Hospital of Iceland	DECODE GENETICS		cazzo
ITA/INMI1/2020	1/30/2020			Italy	Homo sapiens	-0.16	MT066156		Italy	Europe	B	Older	202005		19A	Capobianchi et al					cazzo
GEO/MM202054/2020	2/27/2020			Georgia	Homo sapiens	-0.16	MT231246		Georgia (Asia)	Asia	B	Older	202009		19A	Kotorashvili et al A					cazzo
SouthAfrica/NHLS-UCT-LA-9007/2020	3/19/2020			South Africa	Homo sapiens	-0.2	OM766138		South Africa	Africa	B.61	Older	202012		19A	Viana et al A					cazzo
GRC/53_38017/2020	4/4/2020			Greece	Homo sapiens	-0.22	MT459847		Athens	Europe	B.40	Older	202014		19A	Kassela et al A					cazzo
FIN/hCoV19-Fin-THL20201068/2020	3/16/2020		1	Finland	Homo sapiens	-0.12	OM004014		Finland	Europe	B.28	Older	202012		19A	Jiang et al B					cazzo
JOR/SEARCH-0333-JOR/2020	4/7/2020			Jordan	Homo sapiens	-0.16	MT811567		Amman	Asia	B.28	Older	202015		19A	Abu-Dayyeh et al A		Biolab Diagnostic Laboratories	The Scripps Research Institute		cazzo
KEN/SS2764/2020	5/17/2020		1	Kenya	Homo sapiens	-0.08	OK510439		Kenya	Africa	B.31	Older	202021		19A	Githinji et al B					cazzo
NZL/20VR1763/2020	3/25/2020			New Zealand	Homo sapiens	-0.1	OK426528		Southland	Oceania	B.31	Older	202013		19A	Ren et al C		Southern Community Labs Dunedin	Institute of Environmental Science and Research		cazzo
NZL/20VR1785/2020	3/26/2020			New Zealand	Homo sapiens	-0.1	OK426729		Southland	Oceania	B.31	Older	202013		19A	Ren et al D		Southern Community Labs Dunedin	Institute of Environmental Science and Research		cazzo
PER/covper074/2020	3/13/2020			Peru	Homo sapiens	-0.16	MW030214		Peru	South America	B	Older	202011		19A	Juscamayta et al A					cazzo
BRA/SP02/2020	2/28/2020			Brazil	Homo sapiens	-0.16	MT126808		Brazil	South America	B	Older	202009		19A	Amgarten et al					cazzo
BRA/SP02cc/2020	3/18/2020		1	Brazil	Homo sapiens	-0.16	MT350282		Brazil	South America	B	Older	202012		19A	Malta et al A					cazzo
TLS/TL25/2020	3/30/2020			Timor-Leste	Homo sapiens	-0.12	MT641778		Timor-Leste	Asia	B.35	Older	202014		19A	Caly et al E		"National Health Laboratory, Timor-Leste"	The Peter Doherty Institute for Infection and Immunity		cazzo
BEL/GHB-03021/2020	2/3/2020		2	Belgium	Homo sapiens	-0.03	MW368439		Belgium	Europe	A	Older	202006		19B	Baggen et al					cazzo
GBR/SARS-CoV-2Engl2/2020	1/29/2020			United Kingdom	Homo sapiens	-0.08	OK041134		United Kingdom	Europe	B	Older	202005		19B	Szemiel et al		MRC-University of Glasgow Centre for Virus Research	MRC-University of Glasgow Centre for Virus Research		cazzo
USA/AZ-CDC-02993465-001/2020	1/22/2020			USA	Homo sapiens	-0.08	MN997409		Arizona	North America	A	Older	202004		19B	Tao et al A					cazzo
CHN/Hefei-947/2020	3/4/2020			China	Homo sapiens	-0.09	MZ824663		China	Asia	A	Older	202010		19B	Cheng et al A					cazzo
HongKong/Ca-DelMut/2020	6/1/2020		3	Hong Kong	Homo sapiens	-0.05	MT862537		Hong Kong	Asia	A	Older	202023		19B	Wang et al A					cazzo
USA/IL-CDC-03037667-001/2020	1/28/2020			USA	Homo sapiens	-0.12	MT044257		Illinois	North America	A	Older	202005		19B	Li et al A					cazzo
USA/FL-BPHL-0450/2020	3/23/2020			USA	Homo sapiens	-0.17	MT791892		Florida	North America	A	Older	202013		19B	Schmedes et al A		Florida Bureau of Public Health Laboratories	FLDOH		cazzo
KOR/KCDC07/2020	1/31/2020			South Korea	Homo sapiens	-0.09	MT134008		South Korea	Asia	A	Older	202005		19B	Kim et al A					cazzo
KOR/CNUHV03-CA22/2020	5/20/2020		2	South Korea	Homo sapiens	-0.06	MT810119		South Korea	Asia	A	Older	202021		19B	Seo et al					cazzo
KOR/KCDC06-NCCP43328/2020	3/17/2020			South Korea	Homo sapiens	-0.08	MW466793		South Korea	Asia	A	Older	202012		19B	Kim et al B					cazzo
KOR/KCDC03-NCCP43326/2020	2/6/2020			South Korea	Homo sapiens	-0.08	MW466791		South Korea	Asia	A	Older	202006		19B	Kim et al C					cazzo
THA/SI200468-NT/2020	1/25/2020			Thailand	Homo sapiens	-0.08	MT447158		Thailand	Asia	A.6	Older	202004		19B	Rodpan et al					cazzo
THA/MUMT-3/2020	2/25/2020			Thailand	Homo sapiens	-0.08	MT781415		Thailand	Asia	A.6	Older	202009		19B	Sangsiriwut et al					cazzo
HongKong/Case0176/2020	3/18/2020			Hong Kong	Homo sapiens	-0.04	MW181705		Hong Kong	Asia	A.6	Older	202012		19B	Siu et al A					cazzo
KHM/Kunming_kms-2/2020	3/21/2020			Cambodia	Homo sapiens	-0.08	MW341443		Phnom Penh	Asia	A.6	Older	202012		19B	Li et al B					cazzo
THA/CONI-0315/2020	3/17/2020			Thailand	Homo sapiens	-0.08	ON878887		Bangkok	Asia	A.6	Older	202012		19B	Batty et al A					cazzo
THA/CONI-0089/2020	4/7/2020			Thailand	Homo sapiens	-0.08	ON878763		Bangkok	Asia	A.6	Older	202015		19B	Batty et al B					cazzo
LR884127	3/2/2020			Spain	Homo sapiens	-0.08	LR884127		Spain	Europe	A.2	Older	202010		19B	Viedma et al A		Hospital Universitario Ramon y Cajal	HOSPITAL UNIVERSITARY 12 DE OCTUBRE		cazzo
VEN/1Z/2020	3/16/2020		1	Venezuela	Homo sapiens	-0.09	MT907515		Venezuela	South America	A.2	Older	202012		19B	Loureiro et al A					cazzo
PER/covper070/2020	3/18/2020			Peru	Homo sapiens	-0.09	MW030210		Peru	South America	A.2	Older	202012		19B	Juscamayta et al B					cazzo
ESP/Valencia5/2020	2/27/2020			Spain	Homo sapiens	-0.08	MT233519		Comunitat Valenciana	Europe	A.2	Older	202009		19B	Bracho et al					cazzo
GEO/MM2020390/2020	3/8/2020			Georgia	Homo sapiens	-0.09	MT231251		Georgia (Asia)	Asia	A.2	Older	202011		19B	Kotorashvili et al B					cazzo
PER/covper092/2020	3/22/2020			Peru	Homo sapiens	-0.08	MW030228		Peru	South America	A.2	Older	202013		19B	Juscamayta et al C					cazzo
AUS/TAS241/2020	4/15/2020			Australia	Homo sapiens	-0.01	MT973311		Tasmania	Oceania	A.2.2	Older	202016		19B	Sait et al A		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/TAS94/2020	3/23/2020			Australia	Homo sapiens	-0.01	MT973423		Tasmania	Oceania	A.2.2	Older	202013		19B	Sait et al B		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/TAS16/2020	4/10/2020			Australia	Homo sapiens	0.01	MT973374		Tasmania	Oceania	A.2.2	Older	202015		19B	Sait et al C		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/TAS166/2020	5/1/2020			Australia	Homo sapiens	0.01	MT973473		Tasmania	Oceania	A.2.2	Older	202018		19B	Sait et al D		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/TAS158/2020	5/3/2020		1	Australia	Homo sapiens	0.05	MT973468		Tasmania	Oceania	A.2.2	Older	202019		19B	Sait et al E		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/VIC13/2020	1/31/2020			Australia	Homo sapiens	-0.08	MT450930		Victoria	Oceania	A	Older	202005		19B	Seemann et al C		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
NZL/20VR2584/2020	4/2/2020			New Zealand	Homo sapiens	-0.19	MZ332293		New Zealand	Oceania	A.1	Older	202014		19B	Geoghegan et al B			Institute of Environmental Science and Research		cazzo
USA/TN-QDX-2686/2020	3/17/2020		1	USA	Homo sapiens	-0.19	MW191492		Tennessee	North America	A.1	Older	202012		19B	Rosenthal et al C		Quest Diagnostics	Quest Diagnostics		cazzo
AUS/TAS65/2020	3/18/2020			Australia	Homo sapiens	-0.19	MT973399		Tasmania	Oceania	A.1	Older	202012		19B	Sait et al F		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity		cazzo
NZL/20VR2034/2020	4/1/2020			New Zealand	Homo sapiens	-0.19	OK427142		Wellington	Oceania	A.1	Older	202014		19B	Ren et al E		Wellington SCL (WN)	Institute of Environmental Science and Research		cazzo
PER/covper066/2020	3/16/2020			Peru	Homo sapiens	-0.19	MW030206		Peru	South America	A.1	Older	202012		19B	Juscamayta et al D					cazzo
USA/NV-QDX-1030/2020	3/17/2020			USA	Homo sapiens	-0.19	MW065095		Nevada	North America	A.1	Older	202012		19B	Rosenthal et al D		Quest Diagnostics	Quest Diagnostics		cazzo
PRY/WOR12903A600_202103266_2-4710511/2020	3/8/2020			Paraguay	Homo sapiens	-0.03	ON017219		Paraguay	South America	A.5	Older	202011		19B	Vazquez et al A					cazzo
PRY/WOR12903A659_202103274_2-4710620/2020	4/9/2020			Paraguay	Homo sapiens	-0.08	ON017230		Paraguay	South America	A.5	Older	202015		19B	Vazquez et al B					cazzo
COL/79256_Antioquia/2020	3/11/2020			Colombia	Homo sapiens	-0.08	MT256924		Antioquia	South America	A.5	Older	202011		19B	Mercado-Reyes et al					cazzo
URY/Mdeo-1/2020	3/13/2020			Uruguay	Homo sapiens	-0.08	MT466071		Uruguay	South America	A.5	Older	202011		19B	Panzera et al A					cazzo
USA/WI-UW-61/2020	3/23/2020			USA	Homo sapiens	-0.07	MT706182		Wisconsin	North America	A.4	Older	202013		19B	Moreno et al A		UWHC	UW-Madison		cazzo
MLI/M00959/2020	6/10/2020		1	Mali	Homo sapiens	0.01	OL448870		Mali	Africa	A.21	Older	202024		19B	Dara et al					cazzo
AUS/VIC07/2020	2/8/2020			Australia	Homo sapiens	-0.07	MT450924		Victoria	Oceania	A	Older	202006		19B	Seemann et al D		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
TUR/Tur-P9/2020	9/12/2020			Turkey	Homo sapiens	-0.05	ON653598		Turkey	Europe	A	Older	202037		19B	Onen et al					cazzo
MLI/UCRC31/2020	3/31/2020			Mali	Homo sapiens	-0.01	MW474741		Mali	Africa	A	Older	202014		19B	Diarra et al A					cazzo
SLE/KGH-G-8625/2020	4/10/2020			Sierra Leone	Homo sapiens	-0.07	MT872496		Sierra Leone	Africa	A.12	Older	202015		19B	Goba et al A		Kenema Government Hospital	Kenema Government Hospital		cazzo
TUN/COV0010-12/2020	3/18/2020			Tunisia	Homo sapiens	-0.07	MT499215		Tunisia	Africa	A	Older	202012		19B	Fares et al A					cazzo
ITA/PA-IZSBM169-57_2020/2020	6/29/2020			Italy	Homo sapiens	-0.08	MW340802		Sicily	Europe	A	Older	202027		19B	Tramuto et al					cazzo
GHA/84162_S45/2020	4/25/2020			Ghana	Homo sapiens	-0.07	MT890242		Ghana	Africa	A	Older	202017		19B	Ngoi et al A					cazzo
BEN/2012/2020	4/15/2020			Benin	Homo sapiens	-0.07	MT653080		Benin	Africa	A	Older	202016		19B	Sander et al A					cazzo
GAB/211L_Gabon/2020	4/20/2020			Gabon	Homo sapiens	-0.05	OM731984		Gabon	Africa	A	Older	202017		19B	Lekana-Douki et al A					cazzo
GHA/3177_S12/2020	3/30/2020			Ghana	Homo sapiens	-0.07	MT890219		Ghana	Africa	A.11	Older	202014		19B	Ngoi et al B					cazzo
NZL/20VR3131/2020	6/16/2020			New Zealand	Homo sapiens	-0.07	OK433260		New Zealand	Oceania	A.11	Older	202025		19B	Ren et al F		Wellington SCL (WN)	Institute of Environmental Science and Research		cazzo
BEN/843/2020	3/19/2020			Benin	Homo sapiens	-0.07	MT653078		Benin	Africa	A	Older	202012		19B	Sander et al B					cazzo
AUS/QLD02/2020	7/20/2020			Australia	Homo sapiens	-0.07	MW772455		Australia	Oceania	A	Older	202030		19B	Parry et al A					cazzo
GAB/56_Gabon/2020	3/14/2020			Gabon	Homo sapiens	-0.07	OM731936		Gabon	Africa	A	Older	202011		19B	Lekana-Douki et al B					cazzo
huamn/CHN/CD-27553/2021	3/16/2021		4	China		0.02	MZ664556		China	Asia	A	Older	202111		19B	Peng et al					cazzo
UGA/MUWRP-KIR200040S/2020	7/31/2020			Uganda	Homo sapiens	-0.04	OM811375		Uganda	Africa	A.25	Older	202031		19B	Byarugaba et al A					cazzo
UZB/hCoV-19-Uzb-CGB-25/2020	12/7/2020		2	Uzbekistan	Homo sapiens	0.01	MW853569		Tashkent	Asia	A.24	Older	202050		19B	Ayubov et al A					cazzo
BEN/461/2020	3/17/2020			Benin	Homo sapiens	-0.04	MT653081		Benin	Africa	A	Older	202012		19B	Sander et al C					cazzo
GHA/84218_S47/2020	5/25/2020			Ghana	Homo sapiens	-0.04	MT890216		Ghana	Africa	A	Older	202022		19B	Ngoi et al C					cazzo
UGA/MAKCHScov6/2020	9/30/2020		3	Uganda	Homo sapiens	0.05	MZ287350		Uganda	Africa	A.23	Older	202040		19B	Mwesigwa et al A					cazzo
Estonia/Cov7567/2020	12/29/2020		5	Estonia	Homo sapiens	0.09	OU278365		Estonia	Europe	A.23.1	Older	202053		19B	Avi et al A			"Institute of Biomedicine and Translational Medicine, University of Tartu"		cazzo
UGA/MUWRP-KIR200128S/2020	11/4/2020		4	Uganda	Homo sapiens	0.08	OM811355		Uganda	Africa	A.23.1	Older	202045		19B	Byarugaba et al B					cazzo
UGA/MUWRP-JIN200254S/2020	11/23/2020		4	Uganda	Homo sapiens	0.08	OM811356		Uganda	Africa	A.23.1	Older	202048		19B	Byarugaba et al C					cazzo
KEN/C82459/2021	2/3/2021		6	Kenya	Homo sapiens	0.17	OL914617		Kenya	Africa	A.23.1	Older	202105		19B	Githinji et al C					cazzo
UGA/MUWRP-20200195568/2020	12/28/2020		5	Uganda	Homo sapiens	0.07	OL442161		Uganda	Africa	A.23.1	Older	202053		19B	Byarugaba et al D					cazzo
UGA/MUWRP-MUL200469/2020	12/8/2020		5	Uganda	Homo sapiens	0.07	OM811366		Uganda	Africa	A.23.1	Older	202050		19B	Byarugaba et al E					cazzo
UGA/MUWRP-JIN200272S/2020	12/15/2020		5	Uganda	Homo sapiens	0.07	OM811358		Uganda	Africa	A.23.1	Older	202051		19B	Byarugaba et al F					cazzo
UGA/MAKCHScov10/2021	1/15/2021		5	Uganda	Homo sapiens	0.07	MZ287371		Uganda	Africa	A.23.1	Older	202102		19B	Mwesigwa et al B					cazzo
UGA/MAKCHScov12/2021	1/24/2021		5	Uganda	Homo sapiens	0.07	MZ287362		Uganda	Africa	A.23.1	Older	202104		19B	Mwesigwa et al C					cazzo
EGY/EGY_CCHE57357_A_39/2020	8/11/2020			Egypt	Homo sapiens	-0.01	MW467447		Egypt	Africa	B	Older	202033		19A	Hatem et al D					cazzo
AUS/SA04/2020	1/30/2020			Australia	Homo sapiens	0	MT745749		South Australia	Oceania	B.1	Older	202005		19A	Caly et al F		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/SA02/2020	1/30/2020			Australia	Homo sapiens	0	MT745747		South Australia	Oceania	B.1	Older	202005		19A	Caly et al G		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
GHA/nmimr-SARS-CoV-2-NTRA-13166/2020	12/10/2020		4	Ghana	Homo sapiens	0.09	MW598423		Ghana	Africa	B.1	Older	202050		19A	Adu et al A					cazzo
OU072896	1/29/2020		1	Germany	Homo sapiens	-0.01	OU072896		Bavaria	Europe	B.1	Older	202005		19A	? A		"Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL), Veterinärstraße 2; 85764 Oberschleißheim"	Robert Koch Institute		cazzo
AUS/NT42/2020	5/1/2020		1	Australia	Homo sapiens	-0.01	MT641765		Northern Territory	Oceania	B	Older	202018		19A	Caly et al H		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity		cazzo
EGY/CUNCI-HGC5I029/2020	6/2/2020		1	Egypt	Homo sapiens	-0.01	MT658504		Egypt	Africa	B.1	Older	202023		19A	Zekri et al A					cazzo
Belgium/42477217/2020	10/9/2020		2	Belgium	Homo sapiens	-0.01	OU280445		Limburg BE	Europe	B.1	Older	202041		20A	? B		"Clinical Virology, University Hospital Basel, Switzerland"	University Hospital Basel		cazzo
FIN/FIN-25-VE6-H10/2020	2/25/2020		1	Finland	Homo sapiens	-0.01	MW717675		Finland	Europe	B.1	Older	202009		20A	Smura et al A					cazzo
IND/ICMR-NIRTH-S7/2020	3/21/2020		2	India	Homo sapiens	0.01	MZ960573		Madhya Pradesh	Asia	B.1.195	Older	202012		20A	Ansari et al		"ICMR - National Institute of Research in Tribal Health, Jabalpur, MP, India"	"ICMR National Institute of Research in Tribal Health, Jabalpur"		cazzo
IND/IGIB107060/2020	8/1/2020		3	India	Homo sapiens	-0.02	OM169311		India	Asia	B.1.540	Older	202031		20A	Pandey et al A					cazzo
PER/covper095/2020	4/1/2020		3	Peru	Homo sapiens	-0.02	MW030231		Peru	South America	B.1	Older	202014		20A	Juscamayta et al E					cazzo
MAR/OUA677_19/2020	4/23/2020		1	Morocco	Homo sapiens	-0.01	MT513758		Morocco	Africa	B.1.528	Older	202017		20A	Lemriss et al					cazzo
USA/MA_MGH_00257/2020	4/6/2020		1	USA	Homo sapiens	-0.01	MT520479		Massachusetts	North America	B.1	Older	202015		20A	Lemieux et al A		Massachusetts General Hospital			cazzo
SouthAfrica/NHLS-UCT-GS-0057/2020	3/24/2020		1	South Africa	Homo sapiens	0	OM725345		South Africa	Africa	B.1	Older	202013		20A	Tegally et al A					cazzo
PER/covper051/2020	4/1/2020		2	Peru	Homo sapiens	-0.01	MW030195		Peru	South America	B.1	Older	202014		20A	Juscamayta et al F					cazzo
MEX/16144/2020	4/19/2020		1	Mexico	Homo sapiens	0.03	MZ643459		Mexico	North America	B.1.189	Older	202017		20A	Araiza-Rodriguez et al					cazzo
MEX/CMX-37/2020	5/7/2020		1	Mexico	Homo sapiens	0.03	OK435588		Mexico	North America	B.1.189	Older	202019		20A	Taboada et al A					cazzo
NZL/20CV0289/2020	3/26/2020		1	New Zealand	Homo sapiens	-0.02	OK427054		Canterbury	Oceania	B.1.23	Older	202013		20A	Ren et al G		Canterbury Health Laboratories	Institute of Environmental Science and Research		cazzo
AUS/VIC1729/2020	3/30/2020		1	Australia	Homo sapiens	-0.01	MW153071		Victoria	Oceania	B.1.23	Older	202014		20A	Caly et al I		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity		cazzo
AUS/VIC802/2020	4/1/2020		1	Australia	Homo sapiens	-0.01	MT451564		Victoria	Oceania	B.1.23	Older	202014		20A	Seemann et al E		Microbiological Diagnostic Unit Public Health Laboratory	The Peter Doherty Institute for Infection and Immunity		cazzo
ITA/73702/2020	2/28/2020		1	Italy	Homo sapiens	0.02	MT483881		Italy	Europe	B.1	Older	202009		20A	Bagnarelli et al					cazzo
